n,m,seed,greedy,ga,q
8000.0,344.0,239.0,125853.16500000001,22115.526333333335,5.690715341931948
8000.0,344.0,240.0,167042.63666666663,30552.179333333333,5.467454051122899
9000.0,100.0,241.0,117709.89,22893.598,5.141607273788943
9000.0,100.0,242.0,132318.38333333342,24466.01033333333,5.408253390339589
9000.0,100.0,243.0,162382.76166666657,30110.477666666662,5.392898892681131
9000.0,100.0,244.0,121297.89333333333,24371.860999999994,4.976964760029337
9000.0,100.0,245.0,126419.31833333323,24417.220666666668,5.177465529724086
9000.0,100.0,246.0,170048.77666666658,30599.47866666667,5.557244243246146
9000.0,100.0,247.0,127909.62000000005,23172.08133333333,5.5199883929287115
9000.0,100.0,248.0,127014.40833333335,22866.82666666667,5.5545270966034055
9000.0,100.0,249.0,126838.20166666668,24049.04666666666,5.274146764514852
9000.0,100.0,250.0,134690.7666666667,23289.977666666666,5.783207205880677
9000.0,200.0,251.0,181617.22,31908.897999999997,5.691742159193339
9000.0,200.0,252.0,136561.92000000004,24961.495333333332,5.470903011873516
9000.0,200.0,253.0,132950.5333333333,23590.411,5.635787071845984
9000.0,200.0,254.0,175011.57000000004,31596.197999999997,5.5390072565059905
9000.0,200.0,255.0,135022.28333333338,23473.739999999998,5.752056695410846
9000.0,200.0,256.0,179771.87999999995,31854.20266666666,5.643584360945862
9000.0,200.0,257.0,139430.3766666666,23622.293333333328,5.902491121381383
9000.0,200.0,258.0,142730.7566666666,25413.764333333333,5.616277651534579
9000.0,200.0,259.0,135907.2783333334,23541.465000000004,5.7731019855108165
9000.0,200.0,260.0,184106.5333333335,31994.261333333336,5.754361115426705
9000.0,344.0,261.0,145257.4866666667,26471.70333333333,5.487273895358202
9000.0,344.0,262.0,187002.05166666672,33808.08866666666,5.531281389800743
9000.0,344.0,263.0,186934.4733333333,33679.78266666667,5.550346781731013
9000.0,344.0,264.0,142356.50666666662,24477.827333333338,5.815732937735403
9000.0,344.0,265.0,145435.35833333334,26582.817,5.471028835406471
9000.0,344.0,266.0,141415.23999999996,24473.407666666666,5.778322411251732
9000.0,344.0,267.0,186743.79166666663,33501.404,5.5742079247385155
9000.0,344.0,268.0,185877.14166666652,33465.73766666667,5.554252038848922
9000.0,344.0,269.0,185503.89166666655,33537.648,5.531213508671406
9000.0,344.0,270.0,140020.38666666666,24480.305000000004,5.719715774238378
10000.0,100.0,271.0,142280.2066666666,25565.692333333332,5.565278843677444
10000.0,100.0,272.0,189894.44000000003,33922.38100000001,5.597910123113115
10000.0,100.0,273.0,143677.70166666672,25568.014000000003,5.619431437524506
10000.0,100.0,274.0,138619.80666666667,26887.52533333333,5.155543507561673
10000.0,100.0,275.0,185793.69833333333,33452.723,5.553918535520512
10000.0,100.0,276.0,143851.68833333344,26735.774666666657,5.380494491999265
10000.0,100.0,277.0,144320.13499999995,25489.407333333333,5.661965110160399
10000.0,100.0,278.0,207882.38833333313,33962.146,6.1210027285476345
10000.0,100.0,279.0,193557.05166666672,33971.643000000004,5.697606432125367
10000.0,100.0,280.0,139390.8516666667,25461.306999999993,5.4746149389215075
10000.0,200.0,281.0,202956.9683333333,34896.84333333334,5.815911954978161
10000.0,200.0,282.0,151369.09500000003,27765.628666666675,5.451671806794794
10000.0,200.0,283.0,198432.3466666667,34882.35,5.688617500445547
10000.0,200.0,284.0,160833.10166666665,27840.517333333333,5.7769437162757695
10000.0,200.0,285.0,204247.26499999993,35241.65933333334,5.7956199811174205
10000.0,200.0,286.0,153734.78666666668,26038.760333333328,5.904074721631975
10000.0,200.0,287.0,153728.77499999997,25938.163333333334,5.926740957885863
10000.0,200.0,288.0,150783.0266666666,25944.791999999998,5.811687627585013
10000.0,200.0,289.0,160899.96833333324,27870.00933333334,5.773229797267854
10000.0,200.0,290.0,149613.62166666673,25996.61866666667,5.755118524645053
10000.0,344.0,291.0,158657.1549999999,28961.998333333333,5.478114913686604
10000.0,344.0,292.0,207353.4633333331,36778.74833333333,5.637860795425831
10000.0,344.0,293.0,208037.9266666664,36790.69933333332,5.654633655690765
10000.0,344.0,294.0,209405.38833333325,36772.128666666664,5.694676808937521
10000.0,344.0,295.0,206563.13833333328,36765.07933333333,5.618460291096157
10000.0,344.0,296.0,156558.82999999993,26830.958666666666,5.835006938999171
10000.0,344.0,297.0,156690.30333333334,26812.44100000001,5.8439402564404075
10000.0,344.0,298.0,160544.4100000001,28995.376666666678,5.5368968593038925
10000.0,344.0,299.0,161970.70500000002,28956.65466666667,5.5935572276742285
10000.0,344.0,300.0,159672.82833333328,28979.877,5.509782816998611
